DateTime,V L1,A L1,W L1,S L1,Q L1,PF L1,V L2,A L2,W L2,S L2,Q L2,PF L2,V L3,A L3,W L3,S L3,Q L3,PF L3,V Total,A Total,W Total,S Total,Q Total,PF Total,kWh
2017-12-01 00:00:19,244.62,10.5178,2122.93,2572.864236,1453.5469005119387,0.8251232110484356,239.55,33.829,6467.06,8103.73695,4883.40941466055,0.7980342945361769,242.07,8.6478,1626.65,2093.372946,1317.6570375271094,0.7770473976498978,242.08,52.994600000000005,10216.64,12769.974132,7661.103474196726,0.8000517381157684,3284972.99
2017-12-01 00:05:19,242.82,10.6847,2269.25,2594.458854,1257.6649723193348,0.8746525297564037,237.76,31.5722,6017.77,7506.606271999999,4487.268874263021,0.801663199313726,240.24,6.6326,1367.97,1593.4158240000002,817.0875517798563,0.858514130081841,240.2733333333333,48.8895,9654.99,11694.48095,6598.640222789305,0.825602268393109,3284973.83
2017-12-01 00:10:19,242.97,7.2744,1987.11,1987.11,0,1,237.84,28.3175,5247.82,6735.0342,4221.5010272140935,0.7791823833648832,240.51,0,532.58,532.58,0,1,240.43999999999997,35.591899999999995,7767.509999999999,9254.7242,5031.471794412213,0.8393021587828624,3284974.57
2017-12-01 00:15:19,243.82,5.4805,1374.61,1374.61,0,1,238.71,29.2368,5552.57,6979.116528,4228.124159305492,0.7955978350158306,241.11,4.568,1101.92,1101.92,0,1,241.21333333333334,39.2853,8029.099999999999,9455.646528,4994.277170169718,0.8491328410198372,3284975.16
2017-12-01 00:20:19,244.86,5.9354,1628.62,1628.62,0,1,239.77,28.12,5278.89,6742.3324,4194.325519078098,0.7829471593539352,242.25,2.0318,762.81,762.81,0,1,242.29333333333332,36.087199999999996,7670.32,9133.7624,4959.012671616575,0.839776607282887,3284975.86
2017-12-01 00:25:19,245.49,6.9997,1922.23,1922.23,0,1,240.32,28.9518,5334.46,6957.696575999999,4466.886852393075,0.766699142702023,242.93,0.4437,565.23,565.23,0,1,242.91333333333333,36.395199999999996,7821.92,9445.156576,5294.19968066525,0.8281408505048377,3284976.52
2017-12-01 00:30:19,245.94,11.865,2333.45,2918.0781,1752.1960207692553,0.7996530319048005,240.76,33.9481,6452.97,8173.344555999999,5016.247542754925,0.7895140056542602,243.24,9.5337,1745.24,2318.977188,1527.0208056422762,0.7525904131489888,243.31333333333336,55.3468,10531.66,13410.399844,8301.985402321256,0.785335271320192,3284977.25
2017-12-01 00:35:19,246.17,16.0141,3279.82,3942.1909969999997,2187.155829937101,0.8319789686740032,241.09,34.2377,6370.5,8254.367092999999,5248.933782779247,0.7717732841567482,243.76,9.1808,1662.87,2237.911808,1497.7024482472573,0.7430453666921266,243.67333333333332,59.432599999999994,11313.189999999999,14434.469898,8964.689245041802,0.7837620695421259,3284978.2
2017-12-01 00:40:19,244.06,9.0929,2284.81,2284.81,0,1,239.01,27.4694,5145.13,6565.461294,4078.3476171253656,0.7836661842332385,241.6,3.3025,859.94,859.94,0,1,241.55666666666664,39.8648,8289.880000000001,9710.211294,5056.2924124031,0.8537280754253379,3284979.03
2017-12-01 00:45:19,243.08,10.1652,2025.21,2470.9568160000003,1415.6807699608196,0.8196055822935919,237.97,32.6994,6293.56,7781.476217999999,4576.294861315162,0.8087874104712712,240.48,8.3881,1564.24,2017.1702879999998,1273.6283575635405,0.7754625424068313,240.51,51.2527,9883.01,12269.603321999999,7271.126392735407,0.8054873283702073,3284979.75
