DateTime,V L1,A L1,W L1,S L1,Q L1,PF L1,V L2,A L2,W L2,S L2,Q L2,PF L2,V L3,A L3,W L3,S L3,Q L3,PF L3,V Total,A Total,W Total,S Total,Q Total,PF Total,kWh
2017-06-01 00:02:35,246.89,0,682.97,682.97,0,1,242.18,0,0,0,0,0,244.2,10.3473,2417.91,2526.81066,733.8142431090016,0.956901931069105,244.42333333333332,10.3473,3100.88,3209.7806600000004,828.9964480684074,0.966072242456592,2914379.68
2017-06-01 00:07:35,247.35,0,587.64,587.64,0,1,242.68,0,0,0,0,0,244.57,10.3155,2409.95,2522.861835,746.3061275371983,0.955244542751585,244.86666666666665,10.3155,2997.5899999999997,3110.501835,830.4672524780063,0.9636998011930122,2914379.93
2017-06-01 00:12:35,247.93,8.5835,2309.28,2309.28,0,1,243.22,0,0.19,0.19,0,1,245.39,10.3638,2425.07,2543.172882,766.0050932207856,0.9535608126227261,245.51333333333332,18.9473,4734.540000000001,4852.642882,1064.0836097907231,0.9756621525894518,2914380.23
2017-06-01 00:17:35,248.41,1.8018,951.76,951.76,0,1,243.74,0,0,0,0,0,245.7,10.3583,2424.18,2545.03431,774.9522350939939,0.952513681436381,245.94999999999996,12.1601,3375.9399999999996,3496.79431,911.3723513736752,0.9654385419084027,2914380.6
2017-06-01 00:22:35,248.22,0,593.3,593.3,0,1,243.65,0,0,0,0,0,245.55,10.3549,2424.05,2542.645695,767.4820700199012,0.9533573650339042,245.8066666666667,10.3549,3017.3500000000004,3135.9456950000003,854.2566239070275,0.9621818403331758,2914380.86
2017-06-01 00:27:35,245.82,6.7432,1925.62,1925.62,0,1,241.38,0,0.2,0.2,0,1,243.42,10.3128,2406.31,2510.3417759999998,715.1839037833792,0.9585587201732487,243.54,17.055999999999997,4332.13,4436.161776,955.0816540712498,0.9765491473816802,2914381.14
2017-06-01 00:32:35,246.21,3.8692,1351.88,1351.88,0,1,241.73,0,0,0,0,0,243.69,10.2853,2400.78,2506.4247569999998,720.0142040977433,0.9578504175300087,243.87666666666667,14.154499999999999,3752.6600000000003,3858.304757,896.693103736627,0.9726188666646066,2914381.52
2017-06-01 00:37:35,244.88,0,579.75,579.75,0,1,240.35,0,0,0,0,0,242.23,10.2574,2388.45,2484.650002,684.6840365735134,0.9612822723834082,242.48666666666668,10.2574,2968.2,3064.400002,761.7979602608564,0.9686072307997603,2914381.78
2017-06-01 00:42:35,244.89,3.9949,1380,1380,0,1,240.32,0,0.13,0.13,0,1,242.37,10.2925,2398.74,2494.593225,684.8662428649128,0.961575609185742,242.52666666666664,14.2874,3778.87,3874.723225,856.5171296911719,0.9752619169334346,2914382.04
2017-06-01 00:47:35,244.73,6.3258,1822.93,1822.93,0,1,240.22,0,0,0,0,0,242.26,10.2566,2388.52,2484.763916,684.8532162848143,0.961266374088797,242.40333333333334,16.5824,4211.45,4307.693916,905.4920051791838,0.977657670698811,2914382.42
2017-06-01 00:52:35,244.49,0,578.47,578.47,0,1,240.01,0,0,0,0,0,241.8,10.2816,2392.93,2486.0908799999997,674.1912775460488,0.9625271623215963,242.1,10.2816,2971.3999999999996,3064.56088,749.8769413886372,0.9696005778158989,2914382.69
2017-06-01 00:57:35,244.52,1.4643,814.83,814.83,0,1,240.1,0,0.22,0.22,0,1,241.77,10.282,2392.83,2485.87914,673.7653076458746,0.962568920386049,242.13,11.7463,3207.88,3300.92914,778.2281753452136,0.9718112276714913,2914382.94
2017-06-01 01:02:35,244.39,9.1122,2343.55,2343.55,0,1,239.97,0,0,0,0,0,241.77,10.2374,2381.09,2475.0961979999997,675.6564224915304,0.9620191740119187,242.04333333333332,19.3496,4724.64,4818.646198,947.1684390328122,0.9804911599363701,2914383.3
2017-06-01 01:07:35,244.35,0,513.63,513.63,0,1,239.91,0,0,0,0,0,241.57,10.2365,2381,2472.8313049999997,667.632880397604,0.9628639022749674,241.9433333333333,10.2365,2894.63,2986.461305,734.8933863917276,0.9692507969729078,2914383.6
2017-06-01 01:12:35,244.22,0,506.11,506.11,0,1,239.83,0,0,0,0,0,241.63,10.252,2386.06,2477.19076,665.7264737333028,0.9632120539639022,241.89333333333335,10.252,2892.17,2983.30076,731.7350037524366,0.9694530430113255,2914383.84
2017-06-01 01:17:35,244.31,9.9793,2502.29,2502.29,0,1,239.99,0,0.16,0.16,0,1,241.99,10.2942,2397.79,2491.0934580000003,675.3885788125233,0.9625451796277006,242.09666666666666,20.2735,4900.24,4993.543458,960.793531064089,0.9813151805356731,2914384.15
2017-06-01 01:22:35,244.58,0,450.45,450.45,0,1,240.33,0,0,0,0,0,241.89,10.26,2387.29,2481.7913999999996,678.3325209762232,0.9619221019139644,242.26666666666665,10.26,2837.74,2932.2413999999994,738.4248914236018,0.9677716166206508,2914384.49
2017-06-01 01:27:35,244.65,0,450.45,450.45,0,1,240.36,0,0,0,0,0,241.91,10.2348,2380.04,2475.900468,682.2702733100853,0.961282584159195,242.30666666666664,10.2348,2830.49,2926.3504679999996,742.8683742520066,0.9672423146003031,2914384.72
2017-06-01 01:32:35,244.74,7.5414,2005.09,2005.09,0,1,240.51,0,0.22,0.22,0,1,242.27,10.2504,2386.76,2483.3644080000004,685.9121556884606,0.9610993828820309,242.50666666666666,17.791800000000002,4392.07,4488.674408000001,926.2392002793666,0.9784781877188894,2914385
2017-06-01 01:37:35,244.86,2.5482,974.46,974.46,0,1,240.66,0,0,0,0,0,242.28,10.2446,2384.51,2482.0616880000002,689.0154446290804,0.9606973152715614,242.6,12.7928,3358.9700000000003,3456.5216880000003,815.3911446136568,0.9717774986517024,2914385.37
2017-06-01 01:42:35,244.87,0,453.23,453.23,0,1,240.65,0,0,0,0,0,242.24,10.2491,2386.05,2482.7419840000002,686.1291107483027,0.9610543565851263,242.58666666666667,10.2491,2839.28,2935.9719840000002,747.2754327775643,0.9670664486831152,2914385.61
2017-06-01 01:47:35,244.56,5.4809,1620.99,1620.99,0,1,240.43,0,0.19,0.19,0,1,242.1,10.2713,2391.12,2486.68173,682.7379965373188,0.9615705826575563,242.36333333333334,15.7522,4012.3,4107.86173,880.8953983297837,0.9767368679178986,2914385.87
2017-06-01 01:52:35,244.73,4.813,1483.56,1483.56,0,1,240.61,0,0,0,0,0,242.2,10.2941,2397.58,2493.2310199999997,683.9671503005385,0.9616357171747366,242.51333333333332,15.107099999999999,3881.14,3976.7910199999997,866.9596975365331,0.975947687590584,2914386.25
2017-06-01 01:57:35,244.49,0,514.26,514.26,0,1,240.33,0,0,0,0,0,241.85,10.2269,2378.53,2473.3757650000002,678.3676834794941,0.9616533135231071,242.22333333333336,10.2269,2892.79,2987.635765,746.8155596980656,0.968253906278967,2914386.5
2017-06-01 02:02:35,244.44,3.0084,1127.14,1127.14,0,1,240.34,0,0.19,0.19,0,1,241.88,10.2369,2380.82,2476.101372,680.2750414503553,0.9615195996910906,242.22,13.2453,3508.1500000000005,3603.431372,823.1653723364453,0.9735581555013448,2914386.75
2017-06-01 02:07:35,244.08,7.0872,1936.27,1936.27,0,1,240.06,0,0,0,0,0,241.67,10.2308,2378.35,2472.477436,675.718838740741,0.9619299110157783,241.93666666666664,17.318,4314.62,4408.747436,906.1502138368517,0.9786498461600693,2914387.12
2017-06-01 02:12:35,244.77,0,519.59,519.59,0,1,240.73,0,0,0,0,0,242.21,10.2288,2380.74,2477.517648,685.6899799118064,0.960937655447934,242.57000000000002,10.2288,2900.33,2997.107648,755.4734573762953,0.9677096523160985,2914387.4
2017-06-01 02:17:35,245.16,0.9332,710.83,710.83,0,1,241.16,0,0.18,0.18,0,1,242.6,10.2521,2388.88,2487.15946,692.2532232265087,0.9604852597589381,242.97333333333333,11.1853,3099.8900000000003,3198.16946,786.7463903804647,0.9692700898969876,2914387.64
2017-06-01 02:22:35,244.84,9.3177,2392.54,2392.54,0,1,240.8,0,0.14,0.14,0,1,242.46,10.2612,2388.77,2487.9305520000003,695.3965190271133,0.960143360143117,242.70000000000002,19.5789,4781.45,4880.610552,978.8234048048437,0.9796827567076898,2914388
2017-06-01 02:27:35,244.94,0,516.07,516.07,0,1,241.01,0,0,0,0,0,242.3,10.2503,2385.98,2483.64769,689.6414196104636,0.9606757067867384,242.75,10.2503,2902.05,2999.71769,759.2180300802498,0.9674410394266136,2914388.3
